date  time
2018-05-09	09-36-31
2018-05-09	11-38-25
2018-05-09	11-45-08
2018-05-09	12-25-48
2018-05-09	12-39-00
2018-05-09	13-25-46
2018-05-09	13-56-20
2018-05-09	13-57-41
2018-05-09	14-25-41
2018-05-09	14-25-49
2018-05-09	14-28-03
2018-05-09	14-28-12
2018-05-09	14-52-03
2018-05-09	15-37-21
2018-05-09	15-54-24
2018-05-09	16-28-05
2018-05-09	18-24-55
2018-05-09	18-25-15
2018-05-09	18-27-04
2018-05-09	18-30-59
2018-05-09	18-31-52
2018-05-09	18-38-27
2018-05-09	18-39-50
2018-05-09	18-41-39
2018-05-09	18-43-10
2018-05-09	18-44-34
2018-05-09	18-53-25
2018-05-09	18-55-43
2018-05-09	18-57-06
2018-05-09	19-00-42
2018-05-09	19-02-53
2018-05-09	19-23-25
2018-05-09	19-26-47
2018-05-09	19-32-33
2018-05-09	19-37-36
2018-05-09	19-37-52
2018-05-09	19-38-24
2018-05-09	19-38-33
2018-05-09	19-38-57
2018-05-09	19-39-01
2018-05-09	19-39-43
2018-05-09	19-41-16
2018-05-09	19-43-25
2018-05-09	19-50-07
2018-05-09	19-50-10
2018-05-09	19-50-22
2018-05-09	19-56-55
2018-05-09	19-56-59
2018-05-09	19-59-00
2018-05-09	20-02-52
2018-05-09	20-11-18
2018-05-09	20-12-47
2018-05-09	20-22-22
2018-05-09	20-25-38
2018-05-09	20-26-12
2018-05-09	20-27-32
2018-05-09	20-29-04
2018-05-09	20-32-47
2018-05-09	20-38-21
2018-05-09	20-40-16
2018-05-09	20-41-52
2018-05-09	20-44-25
2018-05-09	20-46-02
2018-05-09	20-57-15
2018-05-09	20-57-20
2018-05-09	21-11-13
2018-05-09	21-22-56
2018-05-09	21-23-39
2018-05-09	21-23-45
2018-05-09	21-38-41
2018-05-09	21-39-16
2018-05-09	21-39-58
2018-05-09	21-40-09
2018-05-09	22-06-28
2018-05-09	22-58-10
2018-05-09	23-08-17
2018-05-10	00-23-03
2018-05-10	00-27-49
2018-05-10	00-56-25
2018-05-10	01-37-54
2018-05-10	01-48-54
2018-05-10	01-58-08
2018-05-10	02-24-03
2018-05-10	02-24-45
2018-05-10	02-37-37
2018-05-10	03-27-31
2018-05-10	03-35-45
2018-05-10	03-41-36
2018-05-10	03-41-53
2018-05-10	03-49-35
2018-05-10	03-51-17
2018-05-10	03-51-25
2018-05-10	04-23-00
2018-05-10	04-37-54
2018-05-10	05-41-53
2018-05-10	06-43-49
2018-05-10	07-08-06
2018-05-10	07-37-42
2018-05-10	08-34-41
2018-05-10	08-35-11
2018-05-10	08-40-33
2018-05-10	09-27-48
2018-05-10	09-37-45
2018-05-10	10-25-08
2018-05-10	10-35-43
2018-05-10	10-42-08
2018-05-10	10-44-52
2018-05-10	11-24-01
2018-05-10	11-24-09
2018-05-10	11-25-29
2018-05-10	11-25-57
2018-05-10	11-28-26
2018-05-10	11-44-06
2018-05-10	12-04-12
2018-05-10	12-05-47
2018-05-10	13-35-11
2018-05-10	13-39-09
2018-05-10	13-47-04
2018-05-10	14-23-03
2018-05-10	14-29-05
2018-05-10	14-38-35
2018-05-10	14-52-56
2018-05-10	15-26-51
2018-05-10	16-30-33
2018-05-10	16-48-19
2018-05-10	17-00-27
2018-05-10	17-47-25
2018-05-10	17-49-29
2018-05-10	17-54-04
2018-05-10	18-21-36
2018-05-10	18-37-28
2018-05-10	18-37-42
2018-05-10	18-38-37
2018-05-10	18-39-35
2018-05-10	18-41-16
2018-05-10	18-57-57
2018-05-10	19-03-03
2018-05-10	19-23-01
2018-05-10	19-37-41
2018-05-10	19-39-15
2018-05-10	19-40-19
2018-05-10	19-45-45
2018-05-10	19-47-39
2018-05-10	19-51-52
2018-05-10	19-56-18
2018-05-10	20-23-39
2018-05-10	20-36-47
2018-05-10	20-39-41
2018-05-10	20-43-43
2018-05-10	21-27-29
2018-05-10	21-43-31
2018-05-10	21-59-23
2018-05-10	22-04-24
2018-05-10	22-24-06
2018-05-10	22-25-33
2018-05-10	22-48-40
2018-05-10	23-06-07
2018-05-10	23-37-52
2018-05-10	23-50-32
2018-05-10	23-55-24
2018-05-10	23-59-11
2018-05-11	00-08-28
2018-05-11	00-23-50
2018-05-11	00-37-02
2018-05-11	00-37-24
2018-05-11	01-27-38
2018-05-11	01-29-57
2018-05-11	01-39-14
2018-05-11	01-47-56
2018-05-11	01-48-16
2018-05-11	01-49-30
2018-05-11	02-28-27
2018-05-11	02-45-50
2018-05-11	02-55-49
2018-05-11	03-01-52
2018-05-11	03-09-36
2018-05-11	03-46-40
2018-05-11	03-51-11
2018-05-11	04-23-06
2018-05-11	04-25-47
2018-05-11	04-26-26
2018-05-11	04-37-47
2018-05-11	04-48-11
2018-05-11	05-23-29
2018-05-11	05-25-12
2018-05-11	05-27-00
2018-05-11	05-34-29
2018-05-11	05-35-13
2018-05-11	05-37-03
2018-05-11	05-50-39
2018-05-11	06-38-23
2018-05-11	10-24-35
2018-05-11	10-34-00
2018-05-11	10-36-16
2018-05-11	10-37-23
2018-05-11	10-37-34
2018-05-11	10-38-35
2018-05-11	10-39-02
2018-05-11	10-46-16
2018-05-11	10-47-14
2018-05-11	10-50-08
2018-05-11	12-24-59
2018-05-11	12-25-24
2018-05-11	12-48-11
2018-05-11	13-24-42
2018-05-11	13-27-16
2018-05-11	13-31-38
2018-05-11	13-56-41
2018-05-11	14-23-41
2018-05-11	14-26-18
2018-05-11	14-27-58
2018-05-11	14-46-43
2018-05-11	15-25-59
2018-05-11	15-37-08
2018-05-11	15-38-59
2018-05-11	15-39-36
2018-05-11	15-39-51
2018-05-11	15-43-31
2018-05-11	15-46-44
2018-05-11	16-24-08
2018-05-11	16-27-43
2018-05-11	16-28-09
2018-05-11	16-38-10
2018-05-11	16-46-05
2018-05-11	16-52-18
2018-05-11	17-37-45
2018-05-11	18-22-16
2018-05-11	18-47-54
2018-05-11	18-53-35
2018-05-11	18-56-16
2018-05-11	18-58-10
2018-05-11	19-05-01
2018-05-11	19-30-20
2018-05-11	19-37-33
2018-05-11	19-46-44
2018-05-11	19-52-45
2018-05-11	19-56-01
2018-05-11	20-28-05
2018-05-11	20-50-15
2018-05-11	20-55-54
2018-05-11	21-39-20
2018-05-11	21-42-12
2018-05-11	21-42-55
2018-05-11	21-55-15
2018-05-11	21-56-59
2018-05-12	00-04-45
2018-05-12	00-43-52
2018-05-12	00-44-23
2018-05-12	00-48-01
2018-05-12	00-54-18
2018-05-12	01-00-02
2018-05-12	01-24-49
2018-05-12	01-28-49
2018-05-12	01-34-08
2018-05-12	01-37-13
2018-05-12	01-44-40
2018-05-12	01-44-40
2018-05-12	01-47-02
2018-05-12	01-47-24
2018-05-12	01-50-09
2018-05-12	01-52-12
2018-05-12	01-59-02
2018-05-12	02-22-24
2018-05-12	02-25-17
2018-05-12	02-37-01
2018-05-12	03-38-03
2018-05-12	03-42-05
2018-05-12	03-42-45
2018-05-12	03-46-08
2018-05-12	03-52-24
2018-05-12	04-49-12
2018-05-12	05-23-53
2018-05-12	05-25-05
2018-05-12	05-26-35
2018-05-12	05-56-09
2018-05-12	06-23-30
2018-05-12	06-23-30
2018-05-12	06-24-09
2018-05-12	06-24-20
2018-05-12	06-24-25
2018-05-12	06-25-52
2018-05-12	06-27-28
2018-05-12	06-42-27
2018-05-12	06-42-52
2018-05-12	06-44-04
2018-05-12	06-45-41
2018-05-12	07-23-39
2018-05-12	07-25-17
2018-05-12	07-26-10
2018-05-12	07-36-20
2018-05-12	07-37-22
2018-05-12	07-37-25
2018-05-12	07-38-27
2018-05-12	07-41-44
2018-05-12	07-44-20
2018-05-12	07-44-49
2018-05-12	07-48-06
2018-05-12	07-49-31
2018-05-12	07-50-30
2018-05-12	08-21-46
2018-05-12	08-26-34
2018-05-12	08-42-31
2018-05-12	08-43-46
2018-05-12	09-23-28
2018-05-12	09-24-15
2018-05-12	09-36-56
2018-05-12	09-37-03
2018-05-12	09-38-49
2018-05-12	09-44-13
2018-05-12	09-45-05
2018-05-12	09-46-57
2018-05-12	09-48-39
2018-05-12	09-49-09
2018-05-12	09-52-13
